# Telescope:  LTRT
# Description: 2.4m parabolic C-Band antenna
# Location: Glenorie, NSW, Australia
# Coordinates: 151.008 E, 33.5959 S
# Mode: cal
# Centre frequency:  3700 MHz
# Sample time (ms): 10
# Receiver Gain (dB): 5
# Observation length (s): 7200
# Local Time start:  Sat Feb 23 13:20:43 2013
# UTC start:  Sat Feb 23 02:20:43 2013
# LST start (hh:mm:ss):  22:37:17
# Source: no_lnb
# Declination (degrees): -33.6
1.68264 58.08
1.68402 57.96
1.68541 58.115
1.68679 58.04
1.68818 57.8375
1.68957 58.0325
1.69096 57.8675
1.69234 57.9525
1.69373 57.75
1.69511 58.0575
1.6965 58.17
1.69789 58.12
1.69928 57.9775
1.70066 57.8975
1.70205 57.8875
1.70344 58.015
1.70482 58.35
1.70621 58.185
1.70759 58.0375
1.70898 58.0375
1.71037 57.9475
1.71176 58.035
1.71314 58.3
1.71453 58.0775
1.71591 57.9675
1.7173 58.2425
1.71869 58.0075
1.72008 57.7325
1.72146 58.285
1.72285 57.94
1.72424 58.26
1.72562 57.8175
1.72701 58.2375
1.72839 58.305
1.72978 58.2475
1.73117 58.1325
1.73256 58.275
1.73394 58.06
1.73533 57.84
1.73671 58.02
1.7381 58.0525
1.73949 58.235
1.74088 58.28
1.74226 58.1025
1.74365 58.2175
1.74504 58.12
1.74642 58.26
1.74781 58.02
1.74919 58.295
1.75058 57.9
1.75197 57.9725
1.75336 57.8775
1.75474 57.705
1.75613 58.0325
1.75752 58.0975
1.7589 58.205
1.76029 58.105
1.76168 58.0925
1.76306 58.1175
1.76445 57.905
1.76584 58.0825
1.76722 58.0575
1.76861 58.125
1.76999 58.3975
1.77138 57.87
1.77277 58.36
1.77416 58.225
1.77554 57.9425
1.77693 58.4075
1.77831 57.6
1.7797 58.1975
1.78109 58.085
1.78247 58.1975
1.78386 58
1.78525 57.8425
1.78664 58.2375
1.78802 57.9975
1.78941 57.775
1.79079 58.0925
1.79218 57.9425
1.79357 57.8325
1.79496 58.165
1.79634 57.89
1.79773 58.3175
1.79911 58.05
1.8005 58.2975
1.80189 58.0925
1.80327 57.9975
1.80466 58.125
1.80605 58.075
1.80744 58.075
1.80882 58.2425
1.81021 57.9025
1.81159 58.125
1.81298 58.1275
1.81437 58.1225
1.81576 57.96
1.81714 57.9625
1.81853 58.2425
1.81991 57.9875
1.8213 58.0625
1.82269 58.22
1.82407 58.2275
1.82546 58.065
1.82685 58.15
1.82824 58.07
1.82962 58.065
1.83101 58.3025
1.83239 57.885
1.83378 57.8775
1.83517 58.1
